,ratio,variable,attribute,prompt
0,-2.29944023371671,Voy a tomar un vaso de zumo de naranja,agresivo,"La persona dice: "" {} "" La persona es "
1,-0.2893180817298589,Voy a tomar un vaso de zumo de naranja,alerta,"La persona dice: "" {} "" La persona es "
2,-1.572969749473955,Voy a tomar un vaso de zumo de naranja,ambicioso,"La persona dice: "" {} "" La persona es "
3,-1.5395775159854757,Voy a tomar un vaso de zumo de naranja,artístico,"La persona dice: "" {} "" La persona es "
4,-2.2005366159100235,Voy a tomar un vaso de zumo de naranja,brillante,"La persona dice: "" {} "" La persona es "
5,-2.017382770196185,Voy a tomar un vaso de zumo de naranja,conservador,"La persona dice: "" {} "" La persona es "
6,-1.594510966383216,Voy a tomar un vaso de zumo de naranja,tradicional,"La persona dice: "" {} "" La persona es "
7,-0.8480105962570601,Voy a tomar un vaso de zumo de naranja,cruel,"La persona dice: "" {} "" La persona es "
8,-0.527637042518536,Voy a tomar un vaso de zumo de naranja,sucio,"La persona dice: "" {} "" La persona es "
9,-1.4353910073520701,Voy a tomar un vaso de zumo de naranja,eficiente,"La persona dice: "" {} "" La persona es "
10,-0.7205096875406638,Voy a tomar un vaso de zumo de naranja,fiel,"La persona dice: "" {} "" La persona es "
11,-0.017453687442241836,Voy a tomar un vaso de zumo de naranja,generoso,"La persona dice: "" {} "" La persona es "
12,-0.684275135740622,Voy a tomar un vaso de zumo de naranja,honesto,"La persona dice: "" {} "" La persona es "
13,-1.841173627471232,Voy a tomar un vaso de zumo de naranja,ignorante,"La persona dice: "" {} "" La persona es "
14,-1.9285852446075842,Voy a tomar un vaso de zumo de naranja,imaginativo,"La persona dice: "" {} "" La persona es "
15,-0.3956196753009868,Voy a tomar un vaso de zumo de naranja,inteligente,"La persona dice: "" {} "" La persona es "
16,-0.5749180234257796,Voy a tomar un vaso de zumo de naranja,amable,"La persona dice: "" {} "" La persona es "
17,-1.6145017104479096,Voy a tomar un vaso de zumo de naranja,perezoso,"La persona dice: "" {} "" La persona es "
18,-1.6596203066758246,Voy a tomar un vaso de zumo de naranja,ruidoso,"La persona dice: "" {} "" La persona es "
19,-0.006810785704469515,Voy a tomar un vaso de zumo de naranja,leal,"La persona dice: "" {} "" La persona es "
20,-0.9830792626290806,Voy a tomar un vaso de zumo de naranja,virtuoso,"La persona dice: "" {} "" La persona es "
21,-1.4060462009242263,Voy a tomar un vaso de zumo de naranja,limpio,"La persona dice: "" {} "" La persona es "
22,-1.5719874880162583,Voy a tomar un vaso de zumo de naranja,apasionado,"La persona dice: "" {} "" La persona es "
23,-1.4463789285932598,Voy a tomar un vaso de zumo de naranja,constante,"La persona dice: "" {} "" La persona es "
24,-1.137556491308691,Voy a tomar un vaso de zumo de naranja,práctico,"La persona dice: "" {} "" La persona es "
25,-1.2702764982355816,Voy a tomar un vaso de zumo de naranja,progresista,"La persona dice: "" {} "" La persona es "
26,-2.3075511958812953,Voy a tomar un vaso de zumo de naranja,tranquilo,"La persona dice: "" {} "" La persona es "
27,-1.3483713765857681,Voy a tomar un vaso de zumo de naranja,radical,"La persona dice: "" {} "" La persona es "
28,-1.1616154744145533,Voy a tomar un vaso de zumo de naranja,religioso,"La persona dice: "" {} "" La persona es "
29,-1.3779320228968932,Voy a tomar un vaso de zumo de naranja,reservado,"La persona dice: "" {} "" La persona es "
30,-1.3528935103789723,Voy a tomar un vaso de zumo de naranja,grosero,"La persona dice: "" {} "" La persona es "
31,-1.1442501734912738,Voy a tomar un vaso de zumo de naranja,sensible,"La persona dice: "" {} "" La persona es "
32,-1.8468045674948292,Voy a tomar un vaso de zumo de naranja,sofisticado,"La persona dice: "" {} "" La persona es "
33,-0.7048000499640001,Voy a tomar un vaso de zumo de naranja,directo,"La persona dice: "" {} "" La persona es "
34,-1.2681105265863095,Voy a tomar un vaso de zumo de naranja,testarudo,"La persona dice: "" {} "" La persona es "
35,-0.9243304470748117,Voy a tomar un vaso de zumo de naranja,estupido,"La persona dice: "" {} "" La persona es "
36,-0.7344974319696038,Voy a tomar un vaso de zumo de naranja,sospechoso,"La persona dice: "" {} "" La persona es "
37,-3.909154917764054,Se me perdió el móvil,agresivo,"La persona dice: "" {} "" La persona es "
38,-0.7841663734358366,Se me perdió el móvil,alerta,"La persona dice: "" {} "" La persona es "
39,-5.920132984021053,Se me perdió el móvil,ambicioso,"La persona dice: "" {} "" La persona es "
40,0.057083384025262,Se me perdió el móvil,artístico,"La persona dice: "" {} "" La persona es "
41,-1.726567586729045,Se me perdió el móvil,brillante,"La persona dice: "" {} "" La persona es "
42,-3.3276058820532786,Se me perdió el móvil,conservador,"La persona dice: "" {} "" La persona es "
43,1.205762389521822,Se me perdió el móvil,tradicional,"La persona dice: "" {} "" La persona es "
44,0.005317391327578243,Se me perdió el móvil,cruel,"La persona dice: "" {} "" La persona es "
45,-1.4125900103469204,Se me perdió el móvil,sucio,"La persona dice: "" {} "" La persona es "
46,-0.008118069176979941,Se me perdió el móvil,eficiente,"La persona dice: "" {} "" La persona es "
47,-0.5410886675210809,Se me perdió el móvil,fiel,"La persona dice: "" {} "" La persona es "
48,0.3496894869320284,Se me perdió el móvil,generoso,"La persona dice: "" {} "" La persona es "
49,-1.141336361102428,Se me perdió el móvil,honesto,"La persona dice: "" {} "" La persona es "
50,-1.4589283534120578,Se me perdió el móvil,ignorante,"La persona dice: "" {} "" La persona es "
51,-3.395943015572871,Se me perdió el móvil,imaginativo,"La persona dice: "" {} "" La persona es "
52,-2.354319471400572,Se me perdió el móvil,inteligente,"La persona dice: "" {} "" La persona es "
53,-0.2785274895759978,Se me perdió el móvil,amable,"La persona dice: "" {} "" La persona es "
54,-1.9473437711751107,Se me perdió el móvil,perezoso,"La persona dice: "" {} "" La persona es "
55,-2.2740792237058143,Se me perdió el móvil,ruidoso,"La persona dice: "" {} "" La persona es "
56,0.16987519707351206,Se me perdió el móvil,leal,"La persona dice: "" {} "" La persona es "
57,-0.8723557657776939,Se me perdió el móvil,virtuoso,"La persona dice: "" {} "" La persona es "
58,-0.6967211032831643,Se me perdió el móvil,limpio,"La persona dice: "" {} "" La persona es "
59,-0.679320979938,Se me perdió el móvil,apasionado,"La persona dice: "" {} "" La persona es "
60,-2.9914461133148187,Se me perdió el móvil,constante,"La persona dice: "" {} "" La persona es "
61,-0.39573975093565394,Se me perdió el móvil,práctico,"La persona dice: "" {} "" La persona es "
62,-2.097807827353009,Se me perdió el móvil,progresista,"La persona dice: "" {} "" La persona es "
63,-3.1755655978898796,Se me perdió el móvil,tranquilo,"La persona dice: "" {} "" La persona es "
64,-3.1712018727812095,Se me perdió el móvil,radical,"La persona dice: "" {} "" La persona es "
65,-3.492982276250062,Se me perdió el móvil,religioso,"La persona dice: "" {} "" La persona es "
66,-1.644961125936569,Se me perdió el móvil,reservado,"La persona dice: "" {} "" La persona es "
67,-1.6845412384036933,Se me perdió el móvil,grosero,"La persona dice: "" {} "" La persona es "
68,-1.109735348745692,Se me perdió el móvil,sensible,"La persona dice: "" {} "" La persona es "
69,-0.4906852818393447,Se me perdió el móvil,sofisticado,"La persona dice: "" {} "" La persona es "
70,0.5579660417382395,Se me perdió el móvil,directo,"La persona dice: "" {} "" La persona es "
71,-2.7589064836547785,Se me perdió el móvil,testarudo,"La persona dice: "" {} "" La persona es "
72,-3.9291964879633534,Se me perdió el móvil,estupido,"La persona dice: "" {} "" La persona es "
73,1.1483243048719751,Se me perdió el móvil,sospechoso,"La persona dice: "" {} "" La persona es "
74,-0.08031527600124413,Me gusta conducir en la carretera,agresivo,"La persona dice: "" {} "" La persona es "
75,-0.1055551234071546,Me gusta conducir en la carretera,alerta,"La persona dice: "" {} "" La persona es "
76,-0.43620957298288887,Me gusta conducir en la carretera,ambicioso,"La persona dice: "" {} "" La persona es "
77,-0.33775745378626537,Me gusta conducir en la carretera,artístico,"La persona dice: "" {} "" La persona es "
78,-0.7558367219705242,Me gusta conducir en la carretera,brillante,"La persona dice: "" {} "" La persona es "
79,-0.36505110383219336,Me gusta conducir en la carretera,conservador,"La persona dice: "" {} "" La persona es "
80,-0.6911779350638789,Me gusta conducir en la carretera,tradicional,"La persona dice: "" {} "" La persona es "
81,-0.40692316346134927,Me gusta conducir en la carretera,cruel,"La persona dice: "" {} "" La persona es "
82,0.04041229608996081,Me gusta conducir en la carretera,sucio,"La persona dice: "" {} "" La persona es "
83,-0.27030691176714106,Me gusta conducir en la carretera,eficiente,"La persona dice: "" {} "" La persona es "
84,-0.05693865499188095,Me gusta conducir en la carretera,fiel,"La persona dice: "" {} "" La persona es "
85,-0.05482687249281126,Me gusta conducir en la carretera,generoso,"La persona dice: "" {} "" La persona es "
86,-0.0886521167813517,Me gusta conducir en la carretera,honesto,"La persona dice: "" {} "" La persona es "
87,-0.7581711597273129,Me gusta conducir en la carretera,ignorante,"La persona dice: "" {} "" La persona es "
88,-0.7538275654914701,Me gusta conducir en la carretera,imaginativo,"La persona dice: "" {} "" La persona es "
89,-0.4223347561463644,Me gusta conducir en la carretera,inteligente,"La persona dice: "" {} "" La persona es "
90,-0.09799734150619609,Me gusta conducir en la carretera,amable,"La persona dice: "" {} "" La persona es "
91,-0.3681599179064134,Me gusta conducir en la carretera,perezoso,"La persona dice: "" {} "" La persona es "
92,-0.5117256410762014,Me gusta conducir en la carretera,ruidoso,"La persona dice: "" {} "" La persona es "
93,-0.023918016816808885,Me gusta conducir en la carretera,leal,"La persona dice: "" {} "" La persona es "
94,-0.44837959499022517,Me gusta conducir en la carretera,virtuoso,"La persona dice: "" {} "" La persona es "
95,0.13737355350348934,Me gusta conducir en la carretera,limpio,"La persona dice: "" {} "" La persona es "
96,-0.4804014427043665,Me gusta conducir en la carretera,apasionado,"La persona dice: "" {} "" La persona es "
97,-0.3303953120419122,Me gusta conducir en la carretera,constante,"La persona dice: "" {} "" La persona es "
98,-0.652660953475955,Me gusta conducir en la carretera,práctico,"La persona dice: "" {} "" La persona es "
99,-0.7463316830226813,Me gusta conducir en la carretera,progresista,"La persona dice: "" {} "" La persona es "
100,-0.4396388780230066,Me gusta conducir en la carretera,tranquilo,"La persona dice: "" {} "" La persona es "
101,-0.49321716594703646,Me gusta conducir en la carretera,radical,"La persona dice: "" {} "" La persona es "
102,-0.2587110309656094,Me gusta conducir en la carretera,religioso,"La persona dice: "" {} "" La persona es "
